ticker,company,type,status,price,fv_old,fv_new,fv_delta,fv_delta_pct,q_old,q_new,q_delta,wacc,spread,roic5,note
NFLX,"Netflix, Inc.",GROWTH,completed,79.59,85.8,85.59,-0.21,-0.2,9.1,9.1,0.0,11.915,16.445,20.743,
ACHR,Archer Aviation Inc.,PRE_PROFIT,failed,6.3,,,,,3.8,3.8,0.0,,,,
AAPL,Apple Inc.,MEGA_CAP,completed,309.35,184.308,194.19,9.88,5.4,7.8,7.8,0.0,10.055,55.085,60.86,
FICO,Fair Isaac Corporation,GROWTH,completed,1172.67,1056.876,1116.1,59.22,5.6,9.0,9.0,0.0,9.986,48.051,48.343,
MSFT,Microsoft Corporation,MEGA_CAP,completed,483.24,325.347,343.306,17.96,5.5,8.5,8.5,0.0,10.011,18.207,27.848,
MNDY,monday.com Ltd.,GROWTH,completed,90.73,191.06,180.592,-10.47,-5.5,6.7,6.7,0.0,9.977,-10.088,-5.127,
ACN,Accenture plc,DIVIDEND,completed,185.28,242.63,252.067,9.44,3.9,8.1,8.1,0.0,9.661,,,
WDAY,"Workday, Inc.",GROWTH,completed,200.01,174.07,165.214,-8.86,-5.1,8.0,8.0,0.0,9.525,-2.376,3.275,
NOW,"ServiceNow, Inc.",GROWTH,completed,128.48,117.386,115.5,-1.89,-1.6,7.9,7.9,0.0,9.045,3.169,8.788,
OPFI,OppFi Inc.,FINANCIAL,completed,6.98,12.063,12.732,0.67,5.5,9.7,9.7,0.0,9.328,85.04,78.026,
KLAC,KLA Corporation,GROWTH,completed,183.99,94.128,95.366,1.24,1.3,8.3,8.3,0.0,11.83,29.662,37.993,
AMAT,"Applied Materials, Inc.",GROWTH,completed,492.32,271.106,268.748,-2.36,-0.9,7.9,7.9,0.0,12.657,14.049,28.174,
LRCX,Lam Research Corporation,GROWTH,completed,314.0,228.88,219.452,-9.43,-4.1,8.7,8.7,0.0,13.96,31.742,37.063,
META,"Meta Platforms, Inc.",MEGA_CAP,completed,549.9,480.081,499.962,19.88,4.1,8.6,8.6,0.0,10.387,11.816,20.157,
PANW,"Palo Alto Networks, Inc.",GROWTH,completed,357.87,133.412,134.22,0.81,0.6,8.6,8.6,0.0,9.161,5.357,8.441,
ABBV,AbbVie Inc.,DIVIDEND,completed,264.96,182.432,211.583,29.15,16.0,6.4,6.4,0.0,5.731,3.75,8.933,
IREN,IREN LIMITED,MID_CAP,completed,41.88,27.835,25.189,-2.65,-9.5,4.7,4.7,0.0,11.706,-8.209,-10.971,
JPM,JP Morgan Chase & Co.,FINANCIAL,completed,351.58,307.553,307.553,0.0,0.0,7.4,7.4,0.0,7.325,,,
DOCN,"DigitalOcean Holdings, Inc.",GROWTH,completed,115.64,97.629,91.498,-6.13,-6.3,6.6,6.6,0.0,11.529,2.475,5.55,
NVDA,NVIDIA Corporation,MEGA_CAP,completed,214.72,191.295,173.642,-17.65,-9.2,9.2,9.2,0.0,14.712,57.855,55.089,
GOOGL,Alphabet Inc.,MEGA_CAP,completed,344.82,201.957,208.821,6.86,3.4,8.4,8.4,0.0,10.729,18.018,26.224,
ETN,"Eaton Corporation, PLC",LARGE_CAP,completed,419.2,303.902,306.883,2.98,1.0,8.2,8.2,0.0,9.847,4.779,12.555,
AVGO,Broadcom Inc.,MEGA_CAP,completed,368.45,234.922,225.654,-9.27,-3.9,8.8,8.8,0.0,11.81,2.184,15.254,
AMZN,"Amazon.com, Inc.",MEGA_CAP,completed,258.63,248.244,238.728,-9.52,-3.8,7.8,7.8,0.0,11.33,5.463,11.224,
TER,"Teradyne, Inc.",GROWTH,completed,375.74,170.47,167.13,-3.34,-2.0,7.0,7.0,0.0,13.69,5.679,21.639,
AMD,"Advanced Micro Devices, Inc.",GROWTH,completed,473.25,315.634,282.964,-32.67,-10.4,7.2,7.2,0.0,14.677,-9.582,2.608,
ALAB,"Astera Labs, Inc.",GROWTH,completed,284.97,167.046,147.92,-19.13,-11.4,7.3,7.3,0.0,14.728,-4.681,0.272,
NKE,"Nike, Inc.",DIVIDEND,completed,40.76,49.406,54.844,5.44,11.0,6.2,6.2,0.0,9.316,3.951,17.325,
LYFT,"Lyft, Inc.",GROWTH,completed,17.47,55.036,48.29,-6.75,-12.3,6.1,6.1,0.0,12.238,-12.831,-28.898,
OKLO,Oklo Inc.,PRE_PROFIT,failed,42.09,,,,,4.8,4.8,0.0,,,,
CRDO,Credo Technology Group Holding ,GROWTH,completed,230.57,126.114,112.432,-13.68,-10.8,8.1,8.1,0.0,14.732,6.617,3.647,
TTAN,"ServiceTitan, Inc.",EARLY_GROWTH,completed,94.87,46.596,46.596,0.0,0.0,5.5,5.5,0.0,,,-7.204,
ANET,"Arista Networks, Inc.",GROWTH,completed,188.65,150.952,147.856,-3.1,-2.1,9.5,9.5,0.0,12.813,12.935,25.432,
PLTR,Palantir Technologies Inc.,GROWTH,completed,179.94,63.534,60.264,-3.27,-5.1,8.1,8.1,0.0,12.549,6.324,5.549,
DDOG,"Datadog, Inc.",GROWTH,completed,235.62,111.784,100.448,-11.34,-10.1,6.2,6.2,0.0,12.16,-9.676,1.952,
CELH,"Celsius Holdings, Inc.",GROWTH,completed,33.36,25.436,24.356,-1.08,-4.2,6.9,6.9,0.0,9.092,-0.972,-48.588,
PATH,"UiPath, Inc.",GROWTH,completed,16.39,17.182,16.494,-0.69,-4.0,6.2,6.2,0.0,9.483,-7.848,-4.859,
HON,Honeywell International Inc.,CYCLICAL,completed,215.9,153.169,176.947,23.78,15.5,6.4,6.4,0.0,7.481,3.997,13.587,
CF,"CF Industries Holdings, Inc.",CYCLICAL,completed,129.6,216.558,266.183,49.63,22.9,7.7,7.7,0.0,6.273,17.499,29.87,
HOOD,"Robinhood Markets, Inc.",EARLY_GROWTH,completed,108.13,49.305,43.104,-6.2,-12.6,6.3,6.3,0.0,11.926,-2.921,0.154,
IDR,"Idaho Strategic Resources, Inc.",GROWTH,completed,32.67,23.142,22.17,-0.97,-4.2,7.3,7.3,0.0,11.002,4.049,6.986,
BWXT,"BWX Technologies, Inc.",GROWTH,completed,156.78,57.494,64.042,6.55,11.4,6.0,6.0,0.0,7.969,3.313,13.713,
SBGSY,Schneider Electric SE,LARGE_CAP,completed,69.22,49.77,48.79,-0.98,-2.0,6.6,6.6,0.0,9.825,2.392,11.166,
MCO,Moody's Corporation,FINANCIAL,completed,503.32,104.216,110.0,5.78,5.6,9.1,9.1,0.0,10.706,13.58,19.788,
SNPS,"Synopsys, Inc.",GROWTH,completed,397.87,396.184,418.016,21.83,5.5,7.8,7.8,0.0,10.024,-5.799,15.071,
FIX,"Comfort Systems USA, Inc.",MID_CAP,completed,1655.61,1222.393,1159.016,-63.38,-5.2,8.9,8.9,0.0,13.194,26.461,27.247,
TMDX,"TransMedics Group, Inc.",GROWTH,completed,94.77,115.416,102.678,-12.74,-11.0,6.9,6.9,0.0,11.961,-2.237,0.683,
VRT,"Vertiv Holdings, LLC",GROWTH,completed,261.95,236.896,206.95,-29.95,-12.6,8.9,8.9,0.0,14.382,6.02,12.419,
CDNS,"Cadence Design Systems, Inc.",GROWTH,completed,319.02,226.124,237.066,10.94,4.8,8.4,8.4,0.0,10.243,4.774,19.006,
FTNT,"Fortinet, Inc.",GROWTH,completed,153.51,119.282,125.922,6.64,5.6,9.6,9.6,0.0,9.997,73.487,117.467,
SHOP,Shopify Inc.,GROWTH,completed,149.25,80.592,68.564,-12.03,-14.9,6.8,6.8,0.0,14.728,-3.311,3.603,
STRL,"Sterling Infrastructure, Inc.",GROWTH,completed,516.81,365.218,345.23,-19.99,-5.5,9.1,9.1,0.0,13.98,9.215,19.965,
CCJ,Cameco Corporation,CYCLICAL,completed,102.51,19.751,18.898,-0.85,-4.3,6.6,6.6,0.0,9.598,-1.216,4.908,
ENB,Enbridge Inc,DIVIDEND,completed,50.46,61.48,68.162,6.68,10.9,4.4,4.4,0.0,6.237,1.074,6.141,
DLR,"Digital Realty Trust, Inc.",ASSET_HEAVY,completed,190.62,114.142,113.34,-0.8,-0.7,6.2,6.2,0.0,8.785,-4.497,3.305,
FLNC,"Fluence Energy, Inc.",PRE_PROFIT,failed,11.34,,,,,3.0,3.0,0.0,,,,
NXE,Nexgen Energy Ltd.,PRE_PROFIT,failed,10.86,,,,,1.3,1.3,0.0,,,,
ELF,"e.l.f. Beauty, Inc.",GROWTH,completed,101.94,107.746,96.074,-11.67,-10.8,7.7,7.7,0.0,13.179,-10.494,8.314,
ARM,Arm Holdings plc,GROWTH,completed,243.32,98.67,84.724,-13.95,-14.1,5.7,5.7,0.0,14.717,-6.159,8.211,
CEG,Constellation Energy Corporatio,GROWTH,completed,272.88,191.504,191.086,-0.42,-0.2,5.9,5.9,0.0,8.865,2.461,8.756,
ZETA,Zeta Global Holdings Corp.,EARLY_GROWTH,completed,29.07,34.508,30.974,-3.53,-10.2,,,,11.458,-14.568,-34.939,qnew_fail:TypeError qold_fail:TypeError
GEV,GE Vernova Inc.,GROWTH,completed,956.85,589.058,558.614,-30.44,-5.2,6.1,6.1,0.0,9.814,-0.278,-0.875,
GRAB,Grab Holdings Limited,GROWTH,completed,3.48,2.973,2.918,-0.06,-1.8,5.3,5.3,0.0,8.48,-5.523,-4.124,
MA,Mastercard Incorporated,GROWTH,completed,580.63,576.474,646.97,70.5,12.2,9.1,9.1,0.0,8.133,50.025,52.258,
APPS,"Digital Turbine, Inc.",EARLY_GROWTH,completed,10.87,7.97,7.09,-0.88,-11.0,3.1,3.1,0.0,12.204,-8.511,-0.786,
RBRK,"Rubrik, Inc.",EARLY_GROWTH,completed,100.09,46.322,43.473,-2.85,-6.2,5.8,5.8,0.0,10.17,-40.53,-30.36,
WDC,Western Digital Corporation,GROWTH,completed,459.44,704.448,652.532,-51.92,-7.4,8.7,8.7,0.0,14.727,81.749,26.51,
FIG,"Figma, Inc.",EARLY_GROWTH,completed,27.1,19.378,19.378,0.0,0.0,5.0,5.0,0.0,,,-48.447,
COIN,"Coinbase Global, Inc.",MID_CAP,completed,186.49,120.046,102.103,-17.94,-14.9,6.5,6.5,0.0,13.106,-7.177,-1.246,
GLW,Corning Incorporated,GROWTH,completed,149.84,84.916,80.116,-4.8,-5.7,6.3,6.3,0.0,10.04,-0.024,7.475,
ONON,On Holding AG,GROWTH,completed,30.02,26.272,22.11,-4.16,-15.8,7.4,7.4,0.0,14.205,-0.395,12.581,
ISRG,"Intuitive Surgical, Inc.",GROWTH,completed,378.81,305.006,276.73,-28.28,-9.3,7.7,7.7,0.0,12.038,2.323,12.683,
PFE,"Pfizer, Inc.",DIVIDEND,completed,28.07,22.273,31.538,9.27,41.6,7.5,7.5,0.0,5.458,-0.106,8.629,
ZS,"Zscaler, Inc.",EARLY_GROWTH,completed,181.745,137.292,134.92,-2.37,-1.7,5.9,5.9,0.0,8.99,-9.284,-6.264,
APP,Applovin Corporation,GROWTH,completed,305.77,557.274,511.532,-45.74,-8.2,9.5,9.5,0.0,14.418,49.555,28.805,
AMBA,"Ambarella, Inc.",MID_CAP,completed,73.73,40.295,32.522,-7.77,-19.3,5.2,5.2,0.0,14.689,-23.014,-11.442,
ENPH,"Enphase Energy, Inc.",MID_CAP,completed,38.61,21.327,19.585,-1.74,-8.2,4.4,4.4,0.0,12.024,-4.341,12.596,
TSLA,"Tesla, Inc.",MEGA_CAP,completed,362.86,55.307,47.324,-7.98,-14.4,4.7,4.7,0.0,13.757,-9.217,11.422,
ADBE,Adobe Inc.,GROWTH,completed,275.3,457.318,463.214,5.9,1.3,9.0,9.0,0.0,11.247,30.123,31.651,
CRM,"Salesforce, Inc.",GROWTH,completed,209.17,253.718,247.644,-6.07,-2.4,9.3,9.3,0.0,9.149,0.364,6.773,
OKTA,"Okta, Inc.",GROWTH,completed,135.14,116.014,115.466,-0.55,-0.5,6.9,6.7,-0.2,8.477,-5.231,-2.478,
NBIS,Nebius Group N.V.,EARLY_GROWTH,completed,219.13,56.96,52.95,-4.01,-7.0,4.2,4.2,0.0,10.585,-9.972,-3.935,
SOFI,"SoFi Technologies, Inc.",FINANCIAL,completed,18.91,5.795,5.795,0.0,0.0,5.4,5.4,0.0,16.73,,,
VST,Vistra Corp.,MID_CAP,completed,136.21,56.905,54.668,-2.24,-3.9,5.6,5.6,0.0,9.464,-1.662,8.343,
USAR,"USA Rare Earth, Inc.",PRE_PROFIT,failed,19.26,,,,,4.5,4.5,0.0,,,,
QCOM,QUALCOMM Incorporated,LARGE_CAP,completed,160.75,134.854,132.288,-2.57,-1.9,7.8,7.8,0.0,12.281,16.951,26.113,
V,Visa Inc.,GROWTH,completed,371.04,212.566,223.67,11.1,5.2,8.0,8.0,0.0,8.317,,,
ASTS,"AST SpaceMobile, Inc.",EARLY_GROWTH,failed,68.65,,,,,3.1,3.1,0.0,,,,
