ticker,company,type,price,hist_mult,gross_margin,op_margin,roic5,q_gm,q_om,q_roic,fv_base,fv_gm,fv_om,fv_roic,d_gm_pct,d_om_pct,d_roic_pct,note
NFLX,"Netflix, Inc.",GROWTH,76.03,13.27,48.49,29.49,20.74,0.94,1.0,0.72,84.69,84.69,84.69,84.69,0.0,0.0,0.0,
ACHR,Archer Aviation Inc.,PRE_PROFIT,5.5,,0.0,-243100.0,-55.33,,,,,,,,,,,
AAPL,Apple Inc.,MEGA_CAP,315.34,23.81,46.91,31.97,60.86,0.88,1.0,1.0,194.02,190.96,194.02,194.02,-1.6,0.0,0.0,
FICO,Fair Isaac Corporation,GROWTH,983.19,46.62,82.23,47.0,48.34,1.0,1.0,1.0,1084.64,1084.64,1084.64,1084.64,0.0,0.0,0.0,
MSFT,Microsoft Corporation,MEGA_CAP,491.65,18.59,67.94,46.78,27.85,1.0,1.0,1.0,344.33,344.33,344.33,344.33,0.0,0.0,0.0,
MNDY,monday.com Ltd.,GROWTH,81.11,,89.2,-0.14,-5.13,1.0,0.0,0.0,177.33,177.33,177.33,177.33,0.0,0.0,0.0,
ACN,Accenture plc,DIVIDEND,175.8,16.45,31.91,15.56,,0.28,0.37,1.0,245.42,245.42,245.42,245.42,0.0,0.0,0.0,
WDAY,"Workday, Inc.",GROWTH,186.05,57.31,75.7,10.72,3.27,1.0,0.05,0.0,154.65,154.65,122.31,120.68,0.0,-20.9,-22.0,
NOW,"ServiceNow, Inc.",GROWTH,131.11,71.92,77.53,13.74,8.79,1.0,0.25,0.0,115.7,115.7,94.34,87.25,0.0,-18.5,-24.6,
OPFI,OppFi Inc.,FINANCIAL,7.53,1.42,83.24,64.07,78.03,1.0,1.0,1.0,12.84,12.84,12.84,12.84,0.0,0.0,0.0,
KLAC,KLA Corporation,GROWTH,182.91,31.09,61.3,41.69,37.99,1.0,1.0,1.0,95.43,95.43,95.43,95.43,0.0,0.0,0.0,
AMAT,"Applied Materials, Inc.",GROWTH,468.85,15.3,48.67,29.86,28.17,0.95,1.0,1.0,264.45,264.45,264.45,264.45,0.0,0.0,0.0,
LRCX,Lam Research Corporation,GROWTH,315.84,31.38,50.47,35.29,37.06,1.0,1.0,1.0,219.45,219.45,219.45,219.45,0.0,0.0,0.0,
META,"Meta Platforms, Inc.",MEGA_CAP,653.69,14.97,82.0,41.44,20.16,1.0,1.0,0.68,504.04,504.04,504.04,504.04,0.0,0.0,0.0,
PANW,"Palo Alto Networks, Inc.",GROWTH,335.1,109.15,73.41,13.48,8.44,1.0,0.23,0.0,154.89,154.89,139.68,135.09,0.0,-9.8,-12.8,
ABBV,AbbVie Inc.,DIVIDEND,250.91,21.95,70.24,32.85,8.93,1.0,1.0,0.0,210.82,210.82,210.82,210.82,0.0,0.0,0.0,
IREN,IREN LIMITED,MID_CAP,45.37,,62.32,-53.57,-13.44,,,,,,,,,,,
JPM,JP Morgan Chase & Co.,FINANCIAL,354.71,,,50.39,,1.0,1.0,1.0,308.05,308.05,308.05,308.05,0.0,0.0,0.0,
DOCN,"DigitalOcean Holdings, Inc.",GROWTH,132.67,20.67,59.86,17.42,5.55,1.0,0.49,0.0,90.79,90.79,82.46,68.38,0.0,-9.2,-24.7,
